Hillary,Trump,total,county_name,state_abbreviation
2924,8913,12098,Bradford County,FL
119525,181620,314337,Brevard County,FL
546956,258521,822837,Broward County,FL
1236,4647,6067,Calhoun County,FL
33421,60196,96323,Charlotte County,FL
22765,54377,79590,Citrus County,FL
27768,74898,106363,Clay County,FL
60941,105297,170505,Collier County,FL
7599,20359,28696,Columbia County,FL
3761,6744,10761,DeSoto County,FL
1270,5822,7202,Dixie County,FL
203627,210061,428734,Duval County,FL
57114,88370,151609,Escambia County,FL
21985,33804,57413,Flagler County,FL
1738,4119,6003,Franklin County,FL
14994,6721,22079,Gadsden County,FL
1457,6740,8418,Gilchrist County,FL
1271,2996,4355,Glades County,FL
1715,5320,7279,Gulf County,FL
1899,3439,5451,Hamilton County,FL
2147,5238,7577,Hardee County,FL
4610,6192,11106,Hendry County,FL
31818,59029,93878,Hernando County,FL
14901,29509,45589,Highlands County,FL
306422,265928,595072,Hillsborough County,FL
852,7476,8506,Holmes County,FL
28997,48564,79897,Indian River County,FL
6383,14231,20997,Jackson County,FL
3537,3930,7641,Jefferson County,FL
515,2795,3375,Lafayette County,FL
62597,101888,169898,Lake County,FL
124725,191141,325797,Lee County,FL
91936,53777,151925,Leon County,FL
5091,13758,19367,Levy County,FL
651,2542,3295,Liberty County,FL
3526,4849,8503,Madison County,FL
71066,101681,178521,Manatee County,FL
61958,107710,174485,Marion County,FL
30158,53182,85741,Martin County,FL
623006,333666,978670,Miami-Dade County,FL
18949,21885,42434,Monroe County,FL
10849,34221,46537,Nassau County,FL
23711,71788,100657,Okaloosa County,FL
3953,9342,13632,Okeechobee County,FL
329579,195091,545800,Orange County,FL
85287,50252,139981,Osceola County,FL
371411,270762,657235,Palm Beach County,FL
89998,141943,240814,Pasco County,FL
233327,238746,491520,Pinellas County,FL
117182,157216,283828,Polk County,FL
9920,21873,32652,Putnam County,FL
18398,65126,87432,Santa Rosa County,FL
97676,124098,228509,Sarasota County,FL
105611,109265,224377,Seminole County,FL
43037,88633,136392,St. Johns County,FL
66812,70248,140731,St. Lucie County,FL
22631,52722,76649,Sumter County,FL
3955,14281,18675,Suwannee County,FL
2149,6923,9279,Taylor County,FL
1014,4567,5693,Union County,FL
108793,142763,260304,Volusia County,FL
4348,10507,15344,Wakulla County,FL
6861,25695,33559,Walton County,FL
2261,8630,11144,Washington County,FL
1434,5492,7003,Appling County,GA
696,1873,2604,Atkinson County,GA
607,3356,4010,Bacon County,GA
650,775,1440,Baker County,GA
7965,7691,16075,Baldwin County,GA
684,6130,6946,Banks County,GA
6580,21105,28828,Barrow County,GA
8204,29879,39263,Bartow County,GA
2098,3734,5923,Ben Hill County,GA
1041,5408,6563,Berrien County,GA
34383,22589,58327,Bibb County,GA
1094,3717,4934,Bleckley County,GA
619,5561,6285,Brantley County,GA
2504,3679,6268,Brooks County,GA
4010,10513,15063,Bryan County,GA
8812,14476,24151,Bulloch County,GA
4730,4491,9350,Burke County,GA
2566,6717,9477,Butts County,GA
1178,829,2023,Calhoun County,GA
5914,12287,18825,Camden County,GA
1023,2661,3757,Candler County,GA
12422,29983,43744,Carroll County,GA
4769,20860,26510,Catoosa County,GA
1004,2950,4008,Charlton County,GA
58998,43649,106013,Chatham County,GA
593,746,1384,Chattahoochee County,GA
1612,6457,8246,Chattooga County,GA
25203,80611,110825,Cherokee County,GA
29514,12691,44221,Clarke County,GA
697,566,1271,Clay County,GA
75908,11740,89236,Clayton County,GA
685,1724,2443,Clinch County,GA
159416,152602,326424,Cobb County,GA
4090,9575,13896,Coffee County,GA
3460,9892,13592,Colquitt County,GA
18863,43060,64190,Columbia County,GA
1752,4175,6038,Cook County,GA
16572,42513,61315,Coweta County,GA
1419,3632,5157,Crawford County,GA
2835,4539,7500,Crisp County,GA
965,5047,6238,Dade County,GA
1444,9880,11680,Dawson County,GA
4104,6009,10238,Decatur County,GA
239131,47531,295871,DeKalb County,GA
1836,5021,6995,Dodge County,GA
1860,1941,3836,Dooly County,GA
23224,10227,33925,Dougherty County,GA
30971,24803,57365,Douglas County,GA
2165,2552,4782,Early County,GA
156,1006,1175,Echols County,GA
4851,17865,23395,Effingham County,GA
2507,5269,7912,Elbert County,GA
